origin_block;599,72,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],593,82,-4
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],593,82,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],593,82,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],593,83,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],593,83,-3
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],593,83,-2
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],593,84,-4
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],593,84,-3
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],593,84,-2
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],594,80,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],594,80,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],594,80,-2
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],594,81,-4
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],594,81,-3
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],594,81,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],594,82,-5
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],594,82,-4
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],594,82,-3
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],594,82,-2
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],594,82,-1
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],594,83,-5
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],594,83,-4
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],594,83,-3
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],594,83,-2
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],594,83,-1
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],594,84,-5
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],594,84,-4
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],594,84,-3
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],594,84,-2
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],594,84,-1
