origin_block;579,70,79
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],575,79,76
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],575,79,77
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],575,79,78
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],575,80,76
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],575,80,77
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],575,80,78
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],575,81,76
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],575,81,77
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],575,81,78
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],576,78,77
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],576,79,75
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],576,79,76
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],576,79,77
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],576,79,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],576,79,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],576,80,75
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],576,80,76
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],576,80,77
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],576,80,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],576,80,79
minecraft:oak_leaves[distance=6;persistent=false;waterlogged=false],576,81,75
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],576,81,76
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],576,81,77
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],576,81,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],576,81,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],576,82,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],577,78,76
minecraft:oak_log[axis=x],577,78,77
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],577,78,78
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],577,79,75
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],577,79,76
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],577,79,77
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],577,79,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],577,79,79
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],577,80,75
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],577,80,76
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],577,80,77
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],577,80,78
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],577,80,79
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],577,81,75
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],577,81,76
