origin_block;83,64,-102
minecraft:dirt,81,64,-104
minecraft:dirt,81,64,-103
minecraft:dirt,81,64,-102
minecraft:dirt,81,64,-101
minecraft:dirt,81,64,-100
minecraft:dirt,81,65,-103
minecraft:dirt,81,65,-102
minecraft:dirt,81,65,-101
minecraft:dirt,81,66,-103
minecraft:glass,81,66,-102
minecraft:dirt,81,66,-101
minecraft:dirt,81,67,-103
minecraft:dirt,81,67,-102
minecraft:dirt,81,67,-101
minecraft:dirt,82,64,-104
minecraft:dirt,82,64,-103
minecraft:dirt,82,64,-102
minecraft:dirt,82,64,-101
minecraft:dirt,82,64,-100
minecraft:dirt,82,65,-104
minecraft:dirt,82,65,-100
minecraft:dirt,82,66,-104
minecraft:dirt,82,66,-100
minecraft:dirt,82,67,-104
minecraft:dirt,82,67,-100
minecraft:grass_block[snowy=false],82,68,-103
minecraft:grass_block[snowy=false],82,68,-102
minecraft:grass_block[snowy=false],82,68,-101
minecraft:dirt,83,64,-104
minecraft:dirt,83,64,-103
minecraft:dirt,83,64,-102
minecraft:dirt,83,64,-101
minecraft:dirt,83,64,-100
minecraft:grass_block[snowy=false],83,65,-100
minecraft:glass,83,66,-100
minecraft:grass_block[snowy=false],83,67,-104
minecraft:dirt,83,67,-100
minecraft:grass_block[snowy=false],83,68,-103
minecraft:grass_block[snowy=false],83,68,-102
minecraft:grass_block[snowy=false],83,68,-101
minecraft:dirt,84,64,-104
minecraft:dirt,84,64,-103
minecraft:dirt,84,64,-102
minecraft:dirt,84,64,-101
minecraft:dirt,84,64,-100
minecraft:dirt,84,65,-104
minecraft:dirt,84,65,-100
minecraft:dirt,84,66,-104
minecraft:dirt,84,66,-100
minecraft:dirt,84,67,-104
minecraft:dirt,84,67,-100
minecraft:grass_block[snowy=false],84,68,-103
minecraft:grass_block[snowy=false],84,68,-102
minecraft:grass_block[snowy=false],84,68,-101
minecraft:dirt,85,64,-104
minecraft:dirt,85,64,-103
minecraft:dirt,85,64,-102
minecraft:dirt,85,64,-101
minecraft:dirt,85,64,-100
minecraft:dirt,85,65,-103
minecraft:grass_block[snowy=false],85,65,-102
minecraft:dirt,85,65,-101
minecraft:dirt,85,66,-103
minecraft:glass,85,66,-102
minecraft:dirt,85,66,-101
minecraft:dirt,85,67,-103
minecraft:grass_block[snowy=false],85,67,-102
minecraft:dirt,85,67,-101
