origin_block;-5,-60,28
minecraft:packed_ice,-8,-60,28
minecraft:packed_ice,-7,-60,27
minecraft:packed_ice,-7,-60,28
minecraft:packed_ice,-7,-60,29
minecraft:packed_ice,-7,-60,30
minecraft:packed_ice,-7,-59,28
minecraft:packed_ice,-7,-59,29
minecraft:packed_ice,-6,-60,27
minecraft:packed_ice,-6,-60,28
minecraft:packed_ice,-6,-60,29
minecraft:packed_ice,-6,-60,30
minecraft:packed_ice,-6,-59,28
minecraft:packed_ice,-6,-59,29
minecraft:packed_ice,-6,-58,28
minecraft:packed_ice,-6,-58,29
minecraft:packed_ice,-6,-57,28
minecraft:packed_ice,-6,-57,29
minecraft:packed_ice,-6,-56,28
minecraft:packed_ice,-5,-60,26
minecraft:packed_ice,-5,-60,27
minecraft:packed_ice,-5,-60,28
minecraft:packed_ice,-5,-60,29
minecraft:packed_ice,-5,-60,30
minecraft:packed_ice,-5,-59,27
minecraft:packed_ice,-5,-59,28
minecraft:packed_ice,-5,-59,29
minecraft:packed_ice,-5,-59,30
minecraft:packed_ice,-5,-58,27
minecraft:packed_ice,-5,-58,28
minecraft:packed_ice,-5,-58,29
minecraft:packed_ice,-5,-57,28
minecraft:packed_ice,-5,-57,29
minecraft:packed_ice,-5,-56,28
minecraft:packed_ice,-5,-56,29
minecraft:packed_ice,-5,-55,28
minecraft:packed_ice,-5,-55,29
minecraft:packed_ice,-5,-54,28
minecraft:packed_ice,-5,-54,29
minecraft:packed_ice,-5,-53,28
minecraft:packed_ice,-4,-60,27
minecraft:packed_ice,-4,-60,28
minecraft:packed_ice,-4,-60,29
minecraft:packed_ice,-4,-59,28
minecraft:packed_ice,-4,-59,29
minecraft:packed_ice,-4,-58,28
minecraft:packed_ice,-4,-57,28
minecraft:packed_ice,-4,-56,28
minecraft:packed_ice,-3,-60,28
minecraft:packed_ice,-3,-60,29
minecraft:packed_ice,-3,-59,28
minecraft:packed_ice,-3,-58,28
