origin_block;1233,63,2108
minecraft:red_mushroom_block[down=false;east=false;north=true;south=false;up=false;west=true],1231,65,2107
minecraft:red_mushroom_block[down=false;east=false;north=false;south=false;up=false;west=true],1231,65,2108
minecraft:red_mushroom_block[down=false;east=false;north=false;south=true;up=false;west=true],1231,65,2109
minecraft:red_mushroom_block[down=false;east=false;north=true;south=false;up=false;west=true],1231,66,2107
minecraft:red_mushroom_block[down=false;east=false;north=false;south=false;up=false;west=true],1231,66,2108
minecraft:red_mushroom_block[down=false;east=false;north=false;south=true;up=false;west=true],1231,66,2109
minecraft:red_mushroom_block[down=false;east=false;north=true;south=false;up=true;west=true],1231,67,2107
minecraft:red_mushroom_block[down=false;east=false;north=false;south=false;up=true;west=true],1231,67,2108
minecraft:red_mushroom_block[down=false;east=false;north=false;south=true;up=true;west=true],1231,67,2109
minecraft:red_mushroom_block[down=false;east=false;north=true;south=false;up=false;west=true],1232,65,2106
minecraft:red_mushroom_block[down=false;east=false;north=false;south=true;up=false;west=true],1232,65,2110
minecraft:red_mushroom_block[down=false;east=false;north=true;south=false;up=false;west=true],1232,66,2106
minecraft:red_mushroom_block[down=false;east=false;north=false;south=true;up=false;west=true],1232,66,2110
minecraft:red_mushroom_block[down=false;east=false;north=true;south=false;up=true;west=true],1232,67,2106
minecraft:red_mushroom_block[down=false;east=false;north=false;south=true;up=true;west=true],1232,67,2110
minecraft:red_mushroom_block[down=false;east=false;north=true;south=false;up=true;west=true],1232,68,2107
minecraft:red_mushroom_block[down=false;east=false;north=false;south=false;up=true;west=true],1232,68,2108
minecraft:red_mushroom_block[down=false;east=false;north=false;south=true;up=true;west=true],1232,68,2109
minecraft:mushroom_stem[down=false;east=true;north=true;south=true;up=false;west=true],1233,63,2108
minecraft:mushroom_stem[down=false;east=true;north=true;south=true;up=false;west=true],1233,64,2108
minecraft:red_mushroom_block[down=false;east=false;north=true;south=false;up=false;west=false],1233,65,2106
minecraft:mushroom_stem[down=false;east=true;north=true;south=true;up=false;west=true],1233,65,2108
minecraft:red_mushroom_block[down=false;east=false;north=false;south=true;up=false;west=false],1233,65,2110
minecraft:red_mushroom_block[down=false;east=false;north=true;south=false;up=false;west=false],1233,66,2106
minecraft:mushroom_stem[down=false;east=true;north=true;south=true;up=false;west=true],1233,66,2108
minecraft:red_mushroom_block[down=false;east=false;north=false;south=true;up=false;west=false],1233,66,2110
minecraft:red_mushroom_block[down=false;east=false;north=true;south=false;up=true;west=false],1233,67,2106
minecraft:mushroom_stem[down=false;east=true;north=true;south=true;up=false;west=true],1233,67,2108
minecraft:red_mushroom_block[down=false;east=false;north=false;south=true;up=true;west=false],1233,67,2110
minecraft:red_mushroom_block[down=false;east=false;north=true;south=false;up=true;west=false],1233,68,2107
minecraft:red_mushroom_block[down=false;east=false;north=false;south=false;up=true;west=false],1233,68,2108
minecraft:red_mushroom_block[down=false;east=false;north=false;south=true;up=true;west=false],1233,68,2109
minecraft:red_mushroom_block[down=false;east=true;north=true;south=false;up=false;west=false],1234,65,2106
minecraft:red_mushroom_block[down=false;east=true;north=false;south=true;up=false;west=false],1234,65,2110
minecraft:red_mushroom_block[down=false;east=true;north=true;south=false;up=false;west=false],1234,66,2106
minecraft:red_mushroom_block[down=false;east=true;north=false;south=true;up=false;west=false],1234,66,2110
minecraft:red_mushroom_block[down=false;east=true;north=true;south=false;up=true;west=false],1234,67,2106
minecraft:red_mushroom_block[down=false;east=true;north=false;south=true;up=true;west=false],1234,67,2110
minecraft:red_mushroom_block[down=false;east=true;north=true;south=false;up=true;west=false],1234,68,2107
minecraft:red_mushroom_block[down=false;east=true;north=false;south=false;up=true;west=false],1234,68,2108
minecraft:red_mushroom_block[down=false;east=true;north=false;south=true;up=true;west=false],1234,68,2109
minecraft:red_mushroom_block[down=false;east=true;north=true;south=false;up=false;west=false],1235,65,2107
minecraft:red_mushroom_block[down=false;east=true;north=false;south=false;up=false;west=false],1235,65,2108
minecraft:red_mushroom_block[down=false;east=true;north=false;south=true;up=false;west=false],1235,65,2109
minecraft:red_mushroom_block[down=false;east=true;north=true;south=false;up=false;west=false],1235,66,2107
minecraft:red_mushroom_block[down=false;east=true;north=false;south=false;up=false;west=false],1235,66,2108
minecraft:red_mushroom_block[down=false;east=true;north=false;south=true;up=false;west=false],1235,66,2109
minecraft:red_mushroom_block[down=false;east=true;north=true;south=false;up=true;west=false],1235,67,2107
minecraft:red_mushroom_block[down=false;east=true;north=false;south=false;up=true;west=false],1235,67,2108
minecraft:red_mushroom_block[down=false;east=true;north=false;south=true;up=true;west=false],1235,67,2109
