origin_block;-21,-60,-2
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-24,-57,-3
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-24,-56,-5
minecraft:azalea_leaves[distance=6;persistent=true;waterlogged=false],-24,-56,-3
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-24,-55,-5
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-24,-55,-3
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-24,-54,-5
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-23,-56,-7
minecraft:azalea_leaves[distance=6;persistent=true;waterlogged=false],-23,-56,-2
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-23,-55,-7
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-23,-55,-6
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-23,-55,-3
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-23,-55,-2
minecraft:azalea_leaves[distance=6;persistent=true;waterlogged=false],-23,-54,-6
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-23,-54,-3
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-23,-53,-5
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-23,-53,-4
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-22,-55,-2
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-22,-54,-6
minecraft:azalea_leaves[distance=1;persistent=true;waterlogged=false],-22,-54,-4
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-22,-54,-3
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-22,-54,-2
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-22,-53,-6
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-22,-53,-5
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-22,-53,-4
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-22,-53,-3
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-22,-52,-5
minecraft:jungle_log[axis=y],-21,-60,-2
minecraft:jungle_log[axis=y],-21,-59,-2
minecraft:jungle_log[axis=y],-21,-58,-2
minecraft:jungle_log[axis=y],-21,-57,-3
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-21,-56,-7
minecraft:jungle_log[axis=y],-21,-56,-3
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-21,-56,-1
minecraft:azalea_leaves[distance=6;persistent=true;waterlogged=false],-21,-55,-7
minecraft:jungle_log[axis=y],-21,-55,-4
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-21,-55,-2
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-21,-54,-7
minecraft:azalea_leaves[distance=1;persistent=true;waterlogged=false],-21,-54,-5
minecraft:jungle_log[axis=y],-21,-54,-4
minecraft:azalea_leaves[distance=1;persistent=true;waterlogged=false],-21,-54,-3
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-21,-54,-2
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-21,-53,-6
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-21,-53,-5
minecraft:azalea_leaves[distance=1;persistent=true;waterlogged=false],-21,-53,-4
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-21,-53,-3
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-21,-52,-5
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-21,-52,-4
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-20,-54,-7
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-20,-54,-6
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-20,-54,-5
minecraft:azalea_leaves[distance=1;persistent=true;waterlogged=false],-20,-54,-4
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-20,-54,-3
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-20,-54,-2
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-20,-53,-5
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-20,-53,-4
minecraft:azalea_leaves[distance=6;persistent=true;waterlogged=false],-19,-56,-6
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-19,-55,-6
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-19,-55,-5
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-19,-55,-3
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-19,-54,-5
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-19,-54,-4
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-19,-54,-3
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-18,-56,-3
