origin_block;-12,-60,1
minecraft:jungle_log[axis=y],-12,-58,0
minecraft:jungle_log[axis=y],-12,-57,0
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-8,-57,0
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-15,-56,0
minecraft:jungle_log[axis=y],-12,-56,0
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-9,-56,0
minecraft:azalea_leaves[distance=6;persistent=true;waterlogged=false],-8,-56,0
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-14,-55,0
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-13,-55,0
minecraft:azalea_leaves[distance=1;persistent=true;waterlogged=false],-12,-55,0
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-11,-55,0
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-10,-55,0
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-9,-55,0
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-13,-54,0
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-12,-54,0
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-11,-54,0
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-12,-53,0
minecraft:jungle_log[axis=y],-12,-60,1
minecraft:jungle_log[axis=y],-12,-59,1
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-14,-56,1
minecraft:azalea_leaves[distance=1;persistent=true;waterlogged=false],-12,-56,1
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-10,-56,1
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-14,-55,1
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-13,-55,1
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-12,-55,1
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-11,-55,1
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-10,-55,1
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-12,-54,1
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-11,-54,1
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-14,-55,2
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-12,-55,2
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-11,-55,2
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-10,-55,2
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-12,-54,2
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-12,-56,3
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-9,-56,3
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-12,-55,3
minecraft:azalea_leaves[distance=6;persistent=true;waterlogged=false],-10,-55,3
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-12,-56,-3
minecraft:azalea_leaves[distance=7;persistent=true;waterlogged=false],-14,-56,-2
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-12,-56,-2
minecraft:azalea_leaves[distance=6;persistent=true;waterlogged=false],-10,-56,-2
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-13,-55,-2
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-12,-55,-2
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-11,-55,-2
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-10,-55,-2
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-13,-55,-1
minecraft:azalea_leaves[distance=2;persistent=true;waterlogged=false],-12,-55,-1
minecraft:azalea_leaves[distance=3;persistent=true;waterlogged=false],-11,-55,-1
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-10,-55,-1
minecraft:azalea_leaves[distance=5;persistent=true;waterlogged=false],-9,-55,-1
minecraft:azalea_leaves[distance=4;persistent=true;waterlogged=false],-11,-54,-1
