origin_block;305,63,49
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],303,65,49
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],303,66,48
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],303,66,49
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],303,66,50
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],304,65,48
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],304,65,49
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],304,65,50
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],304,66,47
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],304,66,48
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],304,66,49
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],304,66,50
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],304,66,51
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],304,67,48
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],304,67,49
minecraft:oak_leaves[distance=2;persistent=true;waterlogged=false],304,67,50
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],304,68,49
minecraft:oak_log[axis=y],305,63,49
minecraft:oak_log[axis=y],305,64,49
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],305,65,47
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],305,65,48
minecraft:oak_log[axis=y],305,65,49
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],305,65,50
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],305,65,51
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],305,66,47
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],305,66,48
minecraft:oak_log[axis=y],305,66,49
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],305,66,50
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],305,66,51
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],305,67,48
minecraft:oak_log[axis=y],305,67,49
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],305,67,50
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],305,68,48
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],305,68,49
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],305,68,50
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],306,65,48
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],306,65,49
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],306,65,50
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],306,66,47
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],306,66,48
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],306,66,49
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],306,66,50
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],306,66,51
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],306,67,48
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],306,67,49
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],306,67,50
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],306,68,49
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],307,65,49
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],307,66,48
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],307,66,49
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],307,66,50
