origin_block;626,71,-95
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],625,75,-97
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],626,75,-97
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],627,75,-97
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],625,76,-97
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],626,76,-97
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],627,76,-97
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],625,77,-97
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],626,77,-97
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],627,77,-97
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],626,74,-96
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],624,75,-96
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],625,75,-96
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],626,75,-96
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],627,75,-96
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],628,75,-96
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],624,76,-96
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],625,76,-96
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],626,76,-96
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],627,76,-96
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],628,76,-96
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],624,77,-96
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],625,77,-96
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],626,77,-96
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],627,77,-96
minecraft:oak_leaves[distance=5;persistent=false;waterlogged=false],628,77,-96
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],626,78,-96
minecraft:oak_log[axis=y],626,71,-95
minecraft:oak_log[axis=y],626,72,-95
minecraft:oak_log[axis=y],626,73,-95
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],625,74,-95
minecraft:oak_log[axis=y],626,74,-95
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],627,74,-95
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],624,75,-95
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],625,75,-95
minecraft:oak_log[axis=y],626,75,-95
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],627,75,-95
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],628,75,-95
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],624,76,-95
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],625,76,-95
minecraft:oak_leaves[distance=1;persistent=false;waterlogged=false],626,76,-95
minecraft:oak_leaves[distance=2;persistent=false;waterlogged=false],627,76,-95
minecraft:oak_leaves[distance=3;persistent=false;waterlogged=false],628,76,-95
minecraft:oak_leaves[distance=4;persistent=false;waterlogged=false],624,77,-95
