origin_block;20,-59,20
minecraft:stone,20,-59,17
minecraft:stone,20,-59,18
minecraft:stone,20,-59,19
minecraft:stone,20,-59,20
minecraft:stone,20,-59,21
minecraft:stone,20,-59,22
minecraft:stone,20,-58,17
minecraft:stone,20,-58,18
minecraft:stone,20,-58,19
minecraft:stone,20,-58,20
minecraft:stone,20,-58,21
minecraft:stone,20,-58,22
minecraft:stone,20,-57,17
minecraft:stone,20,-57,18
minecraft:stone,20,-57,19
minecraft:stone,20,-57,20
minecraft:stone,20,-57,21
minecraft:stone,20,-57,22
minecraft:stone,20,-56,17
minecraft:stone,20,-56,18
minecraft:stone,20,-56,19
minecraft:stone,20,-56,20
minecraft:stone,20,-56,21
minecraft:stone,20,-56,22
minecraft:stone,20,-55,17
minecraft:stone,20,-55,18
minecraft:stone,20,-55,19
minecraft:stone,20,-55,20
minecraft:stone,20,-55,21
minecraft:stone,20,-55,22
minecraft:stone,20,-54,17
minecraft:stone,20,-54,18
minecraft:stone,20,-54,19
minecraft:stone,20,-54,20
minecraft:stone,20,-54,21
minecraft:stone,20,-54,22
minecraft:stone,21,-59,17
minecraft:stone,21,-59,18
minecraft:stone,21,-59,19
minecraft:stone,21,-59,20
minecraft:stone,21,-59,21
minecraft:stone,21,-59,22
minecraft:stone,21,-58,17
minecraft:stone,21,-58,18
minecraft:stone,21,-58,19
minecraft:stone,21,-58,20
minecraft:stone,21,-58,21
minecraft:stone,21,-58,22
minecraft:stone,21,-57,17
minecraft:stone,21,-57,18
minecraft:stone,21,-57,19
minecraft:stone,21,-57,20
minecraft:stone,21,-57,21
minecraft:stone,21,-57,22
minecraft:stone,21,-56,17
minecraft:stone,21,-56,18
minecraft:stone,21,-56,19
minecraft:stone,21,-56,20
minecraft:stone,21,-56,21
minecraft:stone,21,-56,22
minecraft:stone,21,-55,17
minecraft:stone,21,-55,18
minecraft:stone,21,-55,19
minecraft:stone,21,-55,20
minecraft:stone,21,-55,21
minecraft:stone,21,-55,22
minecraft:stone,21,-54,17
minecraft:stone,21,-54,18
minecraft:stone,21,-54,19
minecraft:stone,21,-54,20
minecraft:stone,21,-54,21
minecraft:stone,21,-54,22
minecraft:stone,22,-59,17
minecraft:stone,22,-59,18
minecraft:stone,22,-59,19
minecraft:stone,22,-59,20
minecraft:stone,22,-59,21
minecraft:stone,22,-59,22
minecraft:stone,22,-58,17
minecraft:stone,22,-58,18
minecraft:red_mushroom_block[down=true;east=true;north=true;south=false;up=true;west=true],22,-58,19
minecraft:red_mushroom_block[down=true;east=true;north=false;south=true;up=true;west=true],22,-58,20
minecraft:stone,22,-58,21
minecraft:stone,22,-58,22
minecraft:stone,22,-57,17
minecraft:red_mushroom_block[down=true;east=true;north=true;south=true;up=true;west=true],22,-57,18
minecraft:stone,22,-57,19
minecraft:stone,22,-57,20
minecraft:red_mushroom_block[down=true;east=true;north=true;south=true;up=true;west=true],22,-57,21
minecraft:stone,22,-57,22
minecraft:stone,22,-56,17
minecraft:stone,22,-56,18
minecraft:stone,22,-56,19
minecraft:stone,22,-56,20
minecraft:stone,22,-56,21
minecraft:stone,22,-56,22
minecraft:stone,22,-55,17
minecraft:red_mushroom_block[down=true;east=true;north=true;south=true;up=true;west=true],22,-55,18
minecraft:stone,22,-55,19
minecraft:stone,22,-55,20
minecraft:red_mushroom_block[down=true;east=true;north=true;south=true;up=true;west=true],22,-55,21
minecraft:stone,22,-55,22
minecraft:stone,22,-54,17
minecraft:stone,22,-54,18
minecraft:stone,22,-54,19
minecraft:stone,22,-54,20
minecraft:stone,22,-54,21
minecraft:stone,22,-54,22
